x:-54.1278 y:317.0000 v:1.3763
x:-54.2190 y:318.0000 v:1.3804
x:-54.3098 y:319.0000 v:1.3846
x:-54.4000 y:320.0000 v:1.3888
x:-54.4898 y:321.0000 v:1.3930
x:-54.5790 y:322.0000 v:1.3972
x:-54.6678 y:323.0000 v:1.4013
x:-54.7560 y:324.0000 v:1.4055
x:-54.8438 y:325.0000 v:1.4097
x:-54.9310 y:326.0000 v:1.4139
x:-55.0178 y:327.0000 v:1.4180
x:-55.1040 y:328.0000 v:1.4222
x:-55.1898 y:329.0000 v:1.4264
x:-55.2750 y:330.0000 v:1.4306
x:-55.3598 y:331.0000 v:1.4347
x:-55.4440 y:332.0000 v:1.4389
x:-55.5278 y:333.0000 v:1.4431
x:-55.6110 y:334.0000 v:1.4472
x:-55.6938 y:335.0000 v:1.4514
x:-55.7760 y:336.0000 v:1.4556
x:-55.8578 y:337.0000 v:1.4597
x:-55.9390 y:338.0000 v:1.4639
x:-56.0198 y:339.0000 v:1.4680
x:-56.1000 y:340.0000 v:1.4722
x:-56.1798 y:341.0000 v:1.4764
x:-56.2590 y:342.0000 v:1.4805
x:-56.3378 y:343.0000 v:1.4847
x:-56.4160 y:344.0000 v:1.4888
x:-56.4938 y:345.0000 v:1.4930
x:-56.5710 y:346.0000 v:1.4971
x:-56.6478 y:347.0000 v:1.5013
x:-56.7240 y:348.0000 v:1.5054
x:-56.7998 y:349.0000 v:1.5096
x:-56.8750 y:350.0000 v:1.5138
x:-56.9498 y:351.0000 v:1.5179
x:-57.0240 y:352.0000 v:1.5220
x:-57.0978 y:353.0000 v:1.5262
x:-57.1710 y:354.0000 v:1.5303
x:-57.2438 y:355.0000 v:1.5345
x:-57.3160 y:356.0000 v:1.5386
x:-57.3878 y:357.0000 v:1.5428
x:-57.4590 y:358.0000 v:1.5469
x:-57.5298 y:359.0000 v:1.5511
x:-57.6000 y:360.0000 v:1.5552
x:-57.6698 y:361.0000 v:1.5593
x:-57.7390 y:362.0000 v:1.5635
x:-57.8078 y:363.0000 v:1.5676
x:-57.8760 y:364.0000 v:1.5718
x:-57.9438 y:365.0000 v:1.5759
x:-58.0110 y:366.0000 v:1.5800
x:-58.0778 y:367.0000 v:1.5842
x:-58.1440 y:368.0000 v:1.5883
x:-58.2098 y:369.0000 v:1.5924
x:-58.2750 y:370.0000 v:1.5966
x:-58.3398 y:371.0000 v:1.6007
x:-58.4040 y:372.0000 v:1.6048
x:-58.4678 y:373.0000 v:1.6089
x:-58.5310 y:374.0000 v:1.6131
x:-58.5938 y:375.0000 v:1.6172
x:-58.6560 y:376.0000 v:1.6213
x:-58.7178 y:377.0000 v:1.6254
x:-58.7790 y:378.0000 v:1.6296
x:-58.8398 y:379.0000 v:1.6337
x:-58.9000 y:380.0000 v:1.6378
x:-58.9598 y:381.0000 v:1.6419
x:-59.0190 y:382.0000 v:1.6460
